"","bird_id","colony","trip","trip_id","start_time","end_time","nest_attendance","trip_duration","max_dist","dest_lat","dest_long","departing_angle","dest_angle","max_speed"
"184",12667,"Pladda",122,"122_12667",2014-07-09 17:32:00,2014-07-09 19:01:56,30.0416666666667,89.925,13.5142409744067,55.308079,-5.153501,-174.627451334922,-170.586890853182,6.15834335368251
"185",12667,"Pladda",123,"123_12667",2014-07-10 03:01:51,2014-07-10 05:01:54,479.916666666667,120.058333333333,2.89940599985136,55.452334,-5.134441,-20.8368604538273,-20.2220034185222,1.54336872537788
"186",12667,"Pladda",124,"124_12667",2014-07-10 09:16:01,2014-07-10 12:45:57,254.108333333333,209.933333333333,12.8915770691119,55.320191,-5.043954,141.745699080136,158.318131396078,Inf
"187",12667,"Pladda",125,"125_12667",2014-07-10 13:30:57,2014-07-10 16:00:56,45,149.983333333333,12.0952668068988,55.332993,-5.025804,73.5839162963918,150.87733411845,Inf
"188",12667,"Pladda",126,"126_12667",2014-07-10 17:00:58,2014-07-10 17:45:52,60.0333333333333,44.9,9.17697605500657,55.370625,-5.014577,132.37454977383,132.37454977383,Inf
"189",12667,"Pladda",127,"127_12667",2014-07-11 02:30:50,2014-07-11 11:00:42,524.966666666667,509.875,5.4619104615233,55.440468,-5.202212,-52.2382397388895,-75.3548708108532,1.35888074566653
"190",12667,"Pladda",128,"128_12667",2014-07-11 11:30:47,2014-07-11 12:00:49,30.075,30.0333333333333,0.367445492991766,55.424621,-5.117629,169.302476236166,169.302476236166,0.191775845779132
"191",12667,"Pladda",129,"129_12667",2014-07-11 12:30:47,2014-07-11 22:00:36,29.9666666666667,569.825,7.64669120703465,55.437025,-5.238541,-75.7913130696965,-82.4864172471449,2.89858168935378
"193",12667,"Pladda",131,"131_12667",2014-07-13 02:00:20,2014-07-13 05:30:17,NA,209.958333333333,5.28111531613338,55.442678,-5.19808,-9.74352270150723,-72.4186234804924,2.59348376026888
"194",12667,"Pladda",132,"132_12667",2014-07-13 06:00:20,2014-07-13 22:00:09,30.0416666666667,959.816666666667,13.7006628642532,55.477496,-5.316965,-23.0189118645928,-66.1336238470306,2.57674998079315
"195",12667,"Pladda",133,"133_12667",2014-07-14 02:00:06,2014-07-14 07:00:03,239.95,299.958333333333,6.09194344256878,55.444324,-5.210607,-68.5708366807631,-72.8971808835589,1.7942074617435
"196",12667,"Pladda",134,"134_12667",2014-07-14 07:30:03,2014-07-14 09:00:02,30,89.9833333333333,6.24256379603633,55.380153,-5.067022,151.525918713437,148.436834885513,2.63348360212439
"197",12667,"Pladda",135,"135_12667",2014-07-14 11:30:01,2014-07-14 22:29:54,149.983333333333,659.875,9.63527833828189,55.448054,-5.266852,24.7740041809089,-76.8017541227691,3.84384494073478
"198",12667,"Pladda",136,"136_12667",2014-07-15 01:29:52,2014-07-15 05:29:51,179.966666666667,239.983333333333,5.48832237146108,55.444215,-5.200619,-67.8758956397848,-70.8519805018306,2.70261058328219
"199",12667,"Pladda",137,"137_12667",2014-07-15 08:29:51,2014-07-15 14:29:50,180,359.983333333333,13.1977847180894,55.484438,-4.935524,74.394265537785,61.3390800131495,3.87714179806484
"200",12667,"Pladda",138,"138_12667",2014-07-15 16:59:48,2014-07-15 19:29:46,149.966666666667,149.975,11.7241542980727,55.424257,-5.303897,-101.963375101101,-92.0277359392691,3.97288415399804
"201",12667,"Pladda",139,"139_12667",2014-07-16 02:29:40,2014-07-16 08:59:38,419.891666666667,389.966666666667,7.87043978992163,55.455869,-5.233003,-68.7259251825465,-66.5517805650928,2.82176463363803
"202",12667,"Pladda",140,"140_12667",2014-07-16 09:29:37,2014-07-16 10:59:32,29.9916666666667,89.9166666666667,5.13835247221747,55.43931,-5.0402,118.075529193795,75.4802105262497,1.45875705594369
"203",12667,"Pladda",141,"141_12667",2014-07-16 13:59:34,2014-07-16 15:59:34,180.033333333333,120,9.82714418949592,55.356341,-5.209747,-73.593216663729,-144.237611377046,2.95549655559496
"204",12667,"Pladda",142,"142_12667",2014-07-17 01:59:23,2014-07-17 07:29:24,599.816666666667,330.016666666667,6.11018532690295,55.444308,-5.210918,-69.0056247949502,-72.9605250190998,2.80106421729853
"205",12667,"Pladda",143,"143_12667",2014-07-17 07:59:24,2014-07-17 12:29:24,30,270,9.94744951083998,55.497204,-5.019684,83.7006355750148,39.0734938502774,1.88948790937068
"206",12667,"Pladda",144,"144_12667",2014-07-17 14:59:19,2014-07-17 15:29:22,149.916666666667,30.0416666666667,7.76667963151615,55.385516,-5.021377,127.613843175868,127.613843175868,4.27396933988816
"207",12667,"Pladda",145,"145_12667",2014-07-18 01:59:10,2014-07-18 08:29:10,NA,390,7.04950545689393,55.405526,-5.222998,-69.2492908871275,-110.844935332172,2.51743848936986
"209",12667,"Pladda",147,"147_12667",2014-07-19 02:58:57,2014-07-19 21:58:49,NA,1139.875,8.19866591830272,55.448574,-5.243127,-68.4204274292754,-73.7306611778943,2.30543951713628
"210",12667,"Pladda",148,"148_12667",2014-07-20 02:58:43,2014-07-20 06:28:41,299.9,209.966666666667,5.39265138970209,55.443675,-5.199349,-74.7397436413683,-71.0831083265705,2.96371510216724
"212",12667,"Pladda",150,"150_12667",2014-07-21 02:28:28,2014-07-21 07:58:27,NA,329.983333333333,5.46214451984929,55.440849,-5.202035,-68.6594035746312,-75.5476976949777,2.70795116465287
"213",12667,"Pladda",151,"151_12667",2014-07-21 08:58:28,2014-07-21 09:28:28,60.025,30,1.80471219407857,55.443799,-5.113733,10.2491195315753,10.2491195315753,0.989100432448867
"214",12667,"Pladda",152,"152_12667",2014-07-21 09:58:25,2014-07-21 15:58:22,29.9416666666667,359.958333333333,15.3947304219406,55.524731,-4.945117,112.831600320519,45.5429575903825,2.57458699880045
"215",12667,"Pladda",153,"153_12667",2014-07-21 18:28:20,2014-07-22 07:58:13,149.958333333333,809.883333333333,30.5918658313391,55.552876,-4.687865,141.923221973641,62.852766885663,11.4897866860665
"217",12667,"Pladda",155,"155_12667",2014-07-23 09:27:59,2014-07-23 10:27:58,NA,59.975,4.40180582187711,55.426756,-5.049331,120.014653705315,92.0589153036029,2.14166945373799
"218",12667,"Pladda",156,"156_12667",2014-07-23 12:02:58,2014-07-23 13:42:57,95.0083333333333,99.9833333333333,7.76207597108813,55.420428,-4.996936,81.6787279187516,95.7415123736282,6.02032569671475
"219",12667,"Pladda",157,"157_12667",2014-07-24 03:02:51,2014-07-24 08:02:47,799.9,299.925,5.49280925374723,55.443731,-5.200988,-51.7848590134439,-71.232075635725,2.52921616916996
"221",12667,"Pladda",159,"159_12667",2014-07-25 03:22:34,2014-07-25 08:02:31,NA,279.941666666667,5.44397066670486,55.442916,-5.20065,-53.6211382478683,-73.0197540669938,2.46284182230181
"222",12667,"Pladda",160,"160_12667",2014-07-25 09:02:29,2014-07-25 20:42:25,59.975,699.933333333333,11.8137152862838,55.4095,-5.302574,94.5144741865784,-99.9998675076662,6.03931787791149
"223",12667,"Pladda",161,"161_12667",2014-07-26 03:02:19,2014-07-26 08:42:19,379.9,340,5.34217232194218,55.441188,-5.199898,-69.980469325557,-74.2010064204848,4.10427253769096
"224",12667,"Pladda",162,"162_12667",2014-07-26 10:42:16,2014-07-27 20:36:58,119.95,2034.69166666667,40.6401852091008,55.065675,-5.038843,130.58260828493,172.781888064857,11.1983903070357
"225",12667,"Pladda",163,"163_12667",2014-07-28 02:36:51,2014-07-28 23:11:42,359.891666666667,1234.84166666667,27.286658363626,55.250154,-4.82265,-64.928811223524,136.374477007987,8.46104872877848
"252",12667,"Pladda",190,"190_12667",2015-04-09 16:57:26,2015-04-09 17:27:26,NA,29.9916666666667,0.756183954390423,55.428948,-5.107043,81.0752455339467,81.0752455339467,0.408469688695063
"253",12667,"Pladda",191,"191_12667",2015-04-10 04:57:18,2015-04-10 05:57:15,689.866666666667,59.9583333333333,4.7930539628,55.442158,-5.190246,-70.3355237098429,-70.3355237098429,2.59212332289341
"254",12667,"Pladda",192,"192_12667",2015-04-10 06:27:14,2015-04-10 07:27:18,29.975,60.0666666666667,5.91758275975868,55.380808,-5.162316,168.843093811879,-152.405583773239,1.75708252891373
"255",12667,"Pladda",193,"193_12667",2015-04-10 08:57:17,2015-04-10 13:27:13,89.9833333333333,269.941666666667,8.85409002979555,55.441824,-5.256529,-77.9172105706634,-80.1767118662846,4.51610276101116
"256",12667,"Pladda",194,"194_12667",2015-04-10 20:57:09,2015-04-10 21:27:08,449.925,29.9833333333333,0.811492716072724,55.420996,-5.123191,-164.211679701761,-164.211679701761,0.40657319046292
"257",12667,"Pladda",195,"195_12667",2015-04-11 04:27:02,2015-04-11 06:26:59,419.9,119.95,4.86175314062132,55.437976,-5.193538,-74.9877247798586,-76.4985239484718,2.52162969221677
"258",12667,"Pladda",196,"196_12667",2015-04-11 09:56:57,2015-04-11 14:56:57,209.966666666667,300.008333333333,8.90615896890437,55.442841,-5.257037,-81.012020879535,-79.3357713080986,3.32977579163731
"259",12667,"Pladda",197,"197_12667",2015-04-12 04:26:45,2015-04-12 08:26:45,NA,240,4.30881203826263,55.43785,-5.184585,-75.5086998369774,-73.2422356877607,2.03832406841106
"261",12667,"Pladda",199,"199_12667",2015-04-12 17:58:17,2015-04-12 18:28:16,NA,29.9916666666667,1.0203915629943,55.436132,-5.111926,26.5146399987714,26.5146399987714,0.547826519884111
"262",12667,"Pladda",200,"200_12667",2015-04-13 04:58:10,2015-04-13 06:28:08,629.891666666667,89.9666666666667,4.60829519716896,55.437925,-5.189438,-75.7228755991541,-75.7228755991541,2.55242691675302
"263",12667,"Pladda",201,"201_12667",2015-04-13 07:28:09,2015-04-13 08:28:08,60.0166666666667,59.9916666666667,8.26703864060648,55.443228,-5.246602,-77.2847410737732,-77.8948205952072,2.51317283718893
"264",12667,"Pladda",202,"202_12667",2015-04-13 10:28:10,2015-04-13 14:28:07,120.033333333333,239.95,7.61446354672608,55.437714,-5.237858,-77.1517517600393,-81.9335559703167,3.85926326578626
"265",12667,"Pladda",203,"203_12667",2015-04-13 14:58:06,2015-04-13 16:58:02,29.9833333333333,119.925,8.28853622012908,55.444278,-5.246547,-75.2398070878484,-77.4551047227236,2.28306058045145
"266",12667,"Pladda",204,"204_12667",2015-04-14 04:27:55,2015-04-14 05:57:56,689.883333333333,90.025,4.79299631426494,55.438682,-5.19211,-49.0777796060621,-75.5359826975697,2.06880245147824
"267",12667,"Pladda",205,"205_12667",2015-04-14 07:57:55,2015-04-14 09:27:56,119.975,90.0166666666667,13.50331527789,55.471224,-5.31812,-82.4443198020866,-69.082942809814,5.2450892447032
"281",12667,"Pladda",219,"219_12667",2015-04-17 15:47:12,2015-04-17 16:47:11,NA,59.9833333333333,7.96941514628744,55.448707,-5.239277,-72.4716176833224,-72.4716176833224,4.385627514907
"282",12667,"Pladda",220,"220_12667",2015-04-18 04:17:01,2015-04-18 06:17:00,689.841666666667,119.983333333333,5.3668324728872,55.443095,-5.199264,-72.2525332602825,-72.2525332602825,2.94709764437932
"283",12667,"Pladda",221,"221_12667",2015-04-18 08:47:00,2015-04-18 10:16:59,149.991666666667,89.9833333333333,8.1515552068828,55.443558,-5.244611,-78.1397461235664,-78.1397461235664,4.46370555450695
"284",12667,"Pladda",222,"222_12667",2015-04-18 11:16:59,2015-04-18 12:17:02,60.0083333333333,60.05,4.44624800258005,55.462008,-5.082427,26.2044193378157,31.8084698021778,1.9020234682767
"285",12667,"Pladda",223,"223_12667",2015-04-18 14:16:55,2015-04-18 16:16:58,119.883333333333,120.041666666667,3.51810808125217,55.456407,-5.095029,24.6117729868195,26.1121719357676,0.975831759565964
"286",12667,"Pladda",224,"224_12667",2015-04-19 04:46:45,2015-04-19 05:46:48,749.791666666667,60.0416666666667,3.75895908895543,55.446157,-5.168729,-58.0556394865254,-58.0556394865254,2.04440939735276
"287",12667,"Pladda",225,"225_12667",2015-04-19 10:16:45,2015-04-19 11:16:42,269.95,59.95,3.7221697132419,55.442822,-5.171407,-63.6444796525816,-63.6444796525816,2.05137206224483
"288",12667,"Pladda",226,"226_12667",2015-04-19 12:46:42,2015-04-19 15:16:44,90.0083333333333,150.025,7.7173940038737,55.45092,-5.233811,-59.8659118661623,-70.3212097898385,2.40867338023624
"289",12667,"Pladda",227,"227_12667",2015-04-19 15:46:42,2015-04-19 16:46:43,29.9666666666667,60.0166666666667,8.27563177224235,55.442584,-5.246974,-72.8717503926738,-79.052860812899,2.73347902470759
"290",12667,"Pladda",228,"228_12667",2015-04-19 17:46:40,2015-04-19 19:16:40,59.95,90,7.76882758474957,55.453661,-5.232873,-68.6092017318271,-68.9789248142901,4.215493904927
