"","bird_id","colony","trip","trip_id","start_time","end_time","nest_attendance","trip_duration","max_dist","dest_lat","dest_long","departing_angle","dest_angle","max_speed"
"75",12656,"Oronsay",75,"75_12656",2015-05-25 02:26:31,2015-05-25 05:56:27,269.941666666667,209.925,4.54826495015835,56.064836,-6.195821,14.7145183973781,16.0686997181201,2.4671357437754
"76",12656,"Oronsay",76,"76_12656",2015-05-25 09:56:30,2015-05-25 10:26:29,240.058333333333,29.975,0.680686046851668,56.021814,-6.224209,-132.593709019132,-132.593709019132,0.335015740116331
"78",12656,"Oronsay",78,"78_12656",2015-05-25 21:26:20,2015-05-25 21:56:20,NA,30,1.62765001229332,56.013148,-6.201541,149.378743751114,149.378743751114,0.869166589159837
"79",12656,"Oronsay",79,"79_12656",2015-05-26 01:56:21,2015-05-26 05:26:16,240.025,209.916666666667,4.53819361176973,56.065033,-6.197777,37.2926964985838,14.0422313657317,1.51759569774952
"80",12656,"Oronsay",80,"80_12656",2015-05-26 06:56:16,2015-05-26 07:56:19,90,60.05,4.70741424738771,56.06455,-6.18655,35.1734478648279,22.5837432504877,1.91864844813871
"81",12656,"Oronsay",81,"81_12656",2015-05-26 14:26:13,2015-05-26 15:56:14,NA,90.025,3.24652011520725,56.052556,-6.196083,23.3417480269619,22.4468279875837,1.72529415480775
"82",12656,"Oronsay",82,"82_12656",2015-05-26 17:56:08,2015-05-26 20:56:09,119.9,180.016666666667,2.91909059672722,56.04607,-6.186466,51.2100345631308,39.1969379671136,0.947694980142441
"83",12656,"Oronsay",83,"83_12656",2015-05-27 02:26:07,2015-05-27 05:56:06,329.958333333333,209.983333333333,4.48794075057219,56.065661,-6.209372,14.815747601552,5.08462566584637,2.44129816381844
"85",12656,"Oronsay",85,"85_12656",2015-05-27 18:55:58,2015-05-27 21:55:57,NA,179.975,3.20804037194787,56.049661,-6.187461,37.4731891291466,33.8322221491623,1.48959988737859
"86",12656,"Oronsay",86,"86_12656",2015-05-28 02:25:53,2015-05-28 04:55:54,269.941666666667,150.008333333333,4.62000146448323,56.066259,-6.201615,14.5494950668597,11.0778260911268,2.47811373226602
